Student,Email,password,Major,ID
Martha Chaitezvi,Martha@gmail.com,160322,Mechanical Engineering,732-123-4567
Donia Chatto,dchatto0@foxnews.com,eP5?Km4DfJs,Manage In,70465240
Monika Gilpin,mgilpin1@springer.com,"pJ7~$eJZYi.i,=x",Other Majors,72147671
Kelsy Camilio,kcamilio2@toplist.cz,eV3)T'FXuj'n4,Other Majors,52757196
Kariotta Belmont,kbelmont3@berkeley.edu,yM3/<N('z,Manage In,61936473
Maura McClelland,mmcclelland4@deliciousdays.com,vJ8%x'o`p6!07Q,Other Majors,28228103
Langston Coleiro,lcoleiro5@themeforest.net,zT0_pN>8V%O,Other Majors,21203047
Vina Halm,vhalm6@purevolume.com,dO7!N0Gz3,Manage In,92254436
Tito Pirrone,tpirrone7@who.int,qX2%*o(mM2CG(r,Manage In,15669314
Chloris Moses,cmoses8@telegraph.co.uk,bJ3/c'sB,Manage In,92015032
Andrej Hunnable,ahunnable9@multiply.com,fD9{\fYAP3y,Computer Science,20434798
Brody Kemsley,bkemsleya@skype.com,yG3`j_3I6,Manage In,48370309
Joey Terrett,jterrettb@businessinsider.com,fO0!41uIyX.tNef,Manage In,88021929
Berri Python,bpythonc@si.edu,dC5|rVnSC6@F6Ld,Computer Science,26315703
Spence Vines,svinesd@microsoft.com,eA9'Fh@of,Manage In,40294860
Noella Arent,narente@bluehost.com,bX7&bEdxN07/g,Manage In,69054650
Demott Tremain,dtremainf@constantcontact.com,rK6_=7H=Zu,Other Majors,96381042
Alisha Gannon,agannong@arstechnica.com,"mM5""wMxo9*w_3zx`",Computer Science,22794640
Ginelle Ellit,gellith@amazon.co.uk,cC0(ch`n4,Other Majors,26465543
Terza Lasselle,tlassellei@reuters.com,"vG1?@H!llf""Lz`",Computer Science,75835700
Ileana McMillam,imcmillamj@soundcloud.com,rI1~N<H#v,Manage In,94918200
Arvy Pattington,apattingtonk@loc.gov,lY4$($9_fW@g,Other Majors,56716349
Cloe Mitchiner,cmitchinerl@infoseek.co.jp,"tR0'""dtXm",Other Majors,41204195
Maxwell Belchamp,mbelchampm@rakuten.co.jp,xP8#Fa?I8oq>y/m,Manage In,28682043
Quincey Rawe,qrawen@wikispaces.com,tI8/A`YK(Wy,Manage In,16894091
Gordon Standingford,gstandingfordo@google.pl,"zZ3_T3V>OBWh$""",Other Majors,54100199
